Time,Latitude,Longitude,Altitude,Pressure,Temperature,Acceleration,Acceleration (x),Acceleration (y),Acceleration (z),,Velocity(z)
6.00E-06,-71,40,203.4528898,98914,23.2,1.089130387,0.05,0.093,1.084,,
0.003956,-71,40,203.9623038,98911,23.2,1.09321727,0.054,0.092,1.088,,4.30E-03
0.006133,-71,40,204.2170202,98902,23.3,1.102308033,0.055,0.093,1.097,,6.69E-03
0.008162,-71,40,203.7924964,98909,23.3,1.100952315,0.056,0.088,1.096,,8.91E-03
0.010196,-71,40,203.4528898,98907,23.3,1.09300183,0.053,0.09,1.088,,1.11E-02
0.012284,-71,40,203.5377904,98912,23.3,1.09509132,0.055,0.09,1.09,,1.34E-02
0.016063,-71,40,203.2830907,98901,23.2,1.097737218,0.053,0.087,1.093,,1.75E-02
0.01966,-71,40,203.2830907,98911,23.3,1.103857781,0.051,0.09,1.099,,2.15E-02
0.023494,-71,40,203.1981922,98911,23.3,1.097979053,0.053,0.09,1.093,,2.57E-02
0.02726,-71,40,203.4528898,98912,23.3,1.091843395,0.053,0.088,1.087,,2.98E-02
0.030857,-71,40,203.4528898,98911,23.3,1.091212628,0.057,0.09,1.086,,3.37E-02
0.034689,-71,40,203.9623038,98899,23.3,1.093069531,0.056,0.089,1.088,,3.78E-02
0.038401,-71,40,203.1981922,98912,23.3,1.094115625,0.052,0.092,1.089,,4.19E-02
0.040451,-71,40,203.5377904,98905,23.3,1.094178687,0.055,0.091,1.089,,4.41E-02
0.04248,-71,40,202.1794642,98909,23.3,1.09396435,0.054,0.089,1.089,,4.63E-02
0.045874,-71,40,203.1132944,98904,23.3,1.097066087,0.053,0.091,1.092,,5.00E-02
0.049608,-71,40,203.2830907,98909,23.3,1.095955291,0.054,0.089,1.091,,5.41E-02
0.05346,-71,40,202.8586051,98907,23.3,1.097266604,0.057,0.091,1.092,,5.83E-02
0.057204,-71,40,203.1981922,98911,23.3,1.094169091,0.058,0.089,1.089,,
0.060756,-71,40,202.9435008,98914,23.3,1.095041552,0.054,0.09,1.09,,
0.06458,-71,40,203.5377904,98908,23.3,1.092908505,0.056,0.087,1.088,,
0.068072,-71,40,203.7924964,98917,23.3,1.098017304,0.057,0.088,1.093,,
0.071873,-71,40,202.9435008,98917,23.3,1.099023203,0.054,0.09,1.094,,
